Incipit ,Hs. ,Korpus ,Editionen 
"Ach got, wes zichet mich du̍vroͮwe min",C,Christan von Luppin,KLD 31 IV
Ach unde owe her tot waz habn uch getan,B₁,Regenbogen,RSM ¹Regb/1/10
"Ach, winter, din gewalt",B,Namenlos/​Gemischt,KLD 33 II 1; SNE I: B
"Achtent, wie mir were",C,Bruno von Hornberg,KLD 3 IV
"Ahy, nu sol du̍welt lâssen manige swere",C,Heinrich von der Mure,KLD 22 III
Ain maister maisterleichen sass mit werch ob seinem tichte,m₂,Konrad von Würzburg,RSM ¹KonrW/7/504f
Ain raine hohgemuͤte,"B, C",Rubin,KLD 47 XV A
Ain schappel brun unde underwilent ie blang,"B, C",Hiltbolt von Schwangau,KLD 24 II
Ain wip mag wol erloͮben mir,B,Namenlos/​Gemischt,"KLD 69 III 1; MF 5,16"
Al der werlte hôhe,C,Alram/Waltram von Gresten,SNE I: R 54 (R II)
"Alle, die in hohem muͦte wellen sin","C, L",Ulrich von Liechtenstein,KLD 58 XXVI
Aller selde ain selig wip,B,Namenlos/​Gemischt,"MF 176,5"
Aller selde ein selic wib,C,Reinmar,"MF 176,5"
Aller selden selic wip,A,Reinmar der Fiedler,"MF 176,5"
"Almehtic schepfer, den ich ob den ku̍nigen allen prise","C, J, B₃",Konrad von Würzburg,Schr XXXII 2; RSM ¹KonrW/7/2a
"Als ich stan unde denke, wa ich si hab gesehen",C,Reinmar von Brennenberg,KLD 44 IV 3; RSM ¹ReiBr/3a
An der genaden al min froͤide stat,C,Friedrich von Hausen,"MF 43,28"
An lu̍ten hat du̍gotes kraft,C,Konrad von Würzburg,Schr XXV 5; RSM ¹KonrW/5/5a
"Anger, walt, du̍liehte heide breit",C,Konrad von Kirchberg,KLD 33 VI
Aspis ein wurn geheissen ist,C,Konrad von Würzburg,Schr XXV 1; RSM ¹KonrW/5/2a
Asspis ein slang geheissen ist,k,Konrad von Würzburg,RSM ¹KonrW/5/504a
Auß hoher abentewer ein su̍sse wirdigkeit,f,Frauenlob (Heinrich von Meißen),KLD 65 I
"Beschiht des niht, so muͦs ich eine",C,Gottfried von Neifen,KLD 15 XI
Bi liebe lag,C,Ulrich von Winterstetten,KLD 59 XXVIII
Bi so grôssen ungelingen,"C, L",Ulrich von Liechtenstein,KLD 58 XIX
Crist enbu̍tet sinu̍mere,"A, C",Hawart,KLD 19 II
"Danc hab der edel furste, der bi sime leben",B₁,Regenbogen,RSM ¹Regb/1/9
Dank habe ir hochgelopter nam,C,Der Kol von Niunzen,KLD 29 IV
"Das die milten also fruͤge sterbent, die nah prise werbent",C,Konrad von Würzburg,Schr XXXI 7; RSM ¹KonrW/6/7a
Das erste leit daz erste wib,C,Rudolf von Rotenburg,KLD 49 Leich [VI]
Das herze ist mir vor leide nah verswunden,C,Hiltbolt von Schwangau,KLD 24 XIII
Das ich den muͦt iemer von ir bekere,"B, C",Hiltbolt von Schwangau,KLD 24 XIX
Das si mir dike stritekliche hat verseit,C,Der Kol von Niunzen,KLD 29 II
Daz erste wip dem ersten man den ersten schaden riet,A,Reinmar der Fiedler,KLD 45 III 2; RSM ¹ReiFi/3/2
Daz eyme wol getzogenen man,Z₁,Meister Reymar,
Dem adelarn von Rome werdeklichen ist gelungen,C,Konrad von Würzburg,Schr XXXII 22; RSM ¹KonrW/7/22
Dem gelich entuͦn ich niht,C,Reinmar,"MF 191,34"
Dem ich alsolher eren sol,C,Reinmar,"MF 110,8"
"Dem ku̍nige fuͤre ich, swar er wil, den lib",C,Hiltbolt von Schwangau,KLD 25 VI
"Deme ku̍nege, dem vure ich, swar er wil, den lip",A,Markgraf von Hohenburg,KLD 25 VI
Den morgenblich bi wahtæres sange erchos,G,Wolfram von Eschenbach,"KLD 69 I 1; MF 3,1"
Der biber ist rilicher vil danne genuͦge herren schinen,C,Konrad von Würzburg,Schr XXXII 23; RSM ¹KonrW/7/23
Der die schonen zit mit vroiden huͦre waz,A,Leuthold von Seven,KLD 35 VI
Der helden minne ir clage,B,Namenlos/​Gemischt,"KLD 69 IV 1; MF 5,34"
Der helden minne ir klage,C,Wolfram von Eschenbach,"KLD 69 IV 1; MF 5,34"
Der hohin inffil unde dem edilin krummin stab,B₁,Regenbogen,RSM ¹Regb/1/11
Der ich gab vu̍r eigen mich gar minu̍jar,C,Alram/Waltram von Gresten,KLD 64 II
Der ich gab vur eigen mich gar minu̍jar,A,Markgraf von Hohenburg,KLD 64 II
Der karge riche vert von hus,C,Konrad von Würzburg,Schr XXV 4; RSM ¹KonrW/5/4a
Der liebe sumer ku̍nde schoͤner niht gesin,"B, C",Rubin,KLD 47 V
Der lieber sumer kunde schoner nith gesin,A,Namenlos/​Gemischt,KLD 47 V
Der meie ist komen gar wunneklich,C,Der Wilde Alexander,KLD 1 III
Der meie ist komen gar wunneklich,C,Reinmar von Brennenberg,KLD 44 III
Der meie kumt mit schalle,C,Christan von Hamle,KLD 30 IV
Der Mîssener hat sanges hort in sines herzen schrine,C,Konrad von Würzburg,Schr XXXII 20; RSM ¹KonrW/7/20
Der nit sin vas vil tunkel verwet als ein bleich gehilwe,"C, J",Konrad von Würzburg,Schr XXXII 6; RSM ¹KonrW/7/6a
Der Scharle hat dru̍spil verpflicht,C,Der Schulmeister von Esslingen,KLD 10 I 2; RSM ¹Schulm/3/2
Der siben ku̍nst hoch gelobt wirdi treit,C,Regenbogen,HMS II 126.2; RSM ¹Regb/1/2
Der sumer mit gewalde hat,C,Ulrich von Winterstetten,KLD 59 V
Der sumer sumerbernde kumt,C,Hugo von Werbenwag,KLD 27 V
Der sumer unde alle sin schone unde och sin wunne,A,Namenlos/​Gemischt,KLD 47 VIII B
Der tag uns nahet,C,Ulrich von Winterstetten,KLD 59 XXVII
Der vogele suͦzez schallen,"A, B, C",Rubin,KLD 47 XVII A
Der wahter sanc von minnin wol,A,Namenlos/​Gemischt,KLD 68 II
Der wahter sang von minnen wol,C,Von Wissenlo,KLD 68 II
Der walt in gruͤner varwe stat,A,Walther von Mezze,"MF 6,14"
Der walt und diu heide breit,A,Gedrut,KLD 13 IV
Der walt unde du̍heide breit,C,Geltar,KLD 13 IV
"Der welte schepfer, himelscher ku̍nc, gedriet eine",C,Walther von Breisach,KLD 63 I
Der werlde trost unde al ir werdekeit,"C, L",Ulrich von Liechtenstein,KLD 58 XV
Der winter were mir ain zit,"B, C",Dietmar von Aist,"MF 35,16"
Der winter were mir ein zit,A,Heinrich von Veldeke,"MF 35,16"
Des argen ore muͤsse sin verwâssen unde verduͤmet,C,Konrad von Würzburg,Schr XXXII 17; RSM ¹KonrW/7/17
"Die besten, die man vinden kunde",C,Hiltbolt von Schwangau,KLD 24 III
Die gemuͦten umbe nît,A,Gedrut,KLD
Die gemuͦten umme niht,C,Rubin und (?) Rüedeger,KLD
Die ich us al der welte ze frowen habe erkorn,C,Reinmar von Brennenberg,KLD 44 IV 7; RSM ¹ReiBr/7a
Die Lib zu der Schonen sprach: ich ... gewert,P₂,Namenlos/​Gemischt,KLD 44 IV 10 + 11; RSM ¹ReiBr/10-12b
Die liehten liebe suͤsse tage reine,C,Friedrich der Knecht,KLD 11 Ia
Die liehten liebe sumertage reine,C,Neidhart,KLD 11 Ia 1; SNE I: C
Die liehten lieben suͦze tage reine,A,Leuthold von Seven,KLD 11 Ia
Die nu bi liebe slafen,A,Leuthold von Seven,KLD 35 IV
Die pfaffenfu̍rsten sint ir wirde ein teil beroͮbet,C,Der Kanzler,KLD 28 III 1; RSM ¹Kanzl/3/1
Die wil ich nu lebe in so menegim leide,A,Reinmar der Junge,KLD 46
"Die wisen merken, wie mir senden ist beschehen",C,Reinmar von Brennenberg,"KLD 44 IV 9,RSM ¹ReiBr/9a"
"Dir enbiuͤtet, edel riter guͦt",A,Walther von Mezze,MF/MT Namenl XIII
Dise liehten tage,C,Der von Sachsendorf,KLD 51 I
Dise truͤben tage,A,Gedrut,SNE I: R 32 I (R I)
Dise truͤben tage,"R, c",Neidhart,SNE I: R 32 (R I)
Dise truͤben tage,C,Neidhart,SNE I: R 32 (R I)
"Disu̍liet, du̍heissent frowwentanz","C, L",Ulrich von Liechtenstein,KLD 58 XLVI
"Diu heide leide ist worden bar, man hoͤret da",C,Der tugendhafte Schreiber,KLD 53 IX
Diu linde ist an dem ende nu jarlanc lieht unde bloz,A,Walther von Mezze,"MF 4,1"
"Diu vil minnecliche, die ich da meine",A,Leuthold von Seven,KLD 11 III
"Diu vil minnekliche, die ich da meine",C,Friedrich der Knecht,KLD 11 III
Diu werlt noch ir alten sitte,C,Dietmar von Aist,"MF 36,5"
Diu zit ist wunneclich,"A, C",Gottfried von Straßburg,KLD 16 [III] [1]
Do daz liehte morgenrot,C,Konrad von Würzburg,Schr XIV 1
Do der luft mit sunnen vu̍re,C,Burkhard von Hohenfels,KLD 6 XI
Do durch der werlde ummuͦzicheit,J,Der Wilde Alexander,KLD 1 II
Do ich beide gesach unde gehorte,C,Hiltbolt von Schwangau,KLD 24 XIV
Do ich von der guͦten schiet,"B, C",Friedrich von Hausen,"MF 48,32"
Do ir versagen mir so nahe gie,C,Hiltbolt von Schwangau,KLD 24 XVIII
"Du rosenbluͦt, du giligenblat",C,Gottfried von Straßburg,"HMS II, 266f.; RSM ¹Gotfr/2/1a"
"Du rosenbluͦt, du lilienblat",K₁,Namenlos/​Gemischt,"HMS II, 266f.; RSM ¹Gotfr/2/1c"
Du̍frowe guͦt,C,Ulrich von Liechtenstein,KLD 58 XL
Du̍hohe froͤide an wiben lit,C,Der von Obernburg,KLD 40 IV
Du̍Liebe zuͦder Schonen sprach: ich bin gewert,C,Reinmar von Brennenberg,KLD 44 IV 10; RSM ¹ReiBr/10-12a
Du̍milte dem adel wol an stat,C,Der Kanzler,KLD 28 XVI 18; RSM ¹Kanzl/5/18
Du̍min herze hat besessen,C,Der von Sachsendorf,KLD 51 V
"Du̍nahtegal, du̍sang so wol",C,Gottfried von Neifen,KLD 15 LI
Du̍suͤsse klare wunder tuͦt,C,Burkhard von Hohenfels,KLD 6 V
"Du̍suͤssen wort, du̍habent mir getan",C,Friedrich von Hausen,"MF 44,13"
Du̍vil selderiche machet,C,Burkhard von Hohenfels,KLD 6 VI
Du̍welt noch ir alten sitte,B,Reinmar,"MF 36,5"
Eime herren wol gezême,C,Der Kanzler,KLD 28 II 6; RSM ¹Kanzl/2/6
Ein ander minne mach unminne heizen wol,M₃,Namenlos/​Gemischt,
Ein arzat ist min munt,C,Walther von Mezze,KLD 62 Ia
Ein bernde saf der minnen bluͤte,C,Wachsmut von Mühlhausen,KLD 61 IV
"Ein blic, ein wanc",C,Burkhard von Hohenfels,KLD 6 XVIII
Ein esel in loͤwen hiute,C,Der Kanzler,KLD 28 I 5; RSM ¹Kanzl/1/5
"Ein frowe, du̍mit ku̍sche unstet us ir gemuͤte ru̍tet",C,Konrad von Würzburg,Schr XXXII 7; RSM ¹KonrW/7/7a
"Ein herre, der vor schanden",C,Der Kanzler,KLD 28 II 5; RSM ¹Kanzl/2/5
Ein hoher muͦt mich singen tuͦt,C,Rudolf von Rotenburg,KLD 49 Leich III
"Ein hu̍bescher hunt, der spilte gegen sinem herren schone","C, f",Konrad von Würzburg,Schr XXXII 12; RSM ¹KonrW/7/12a
Ein infel unde ein crone,"C, B₃",Der Kanzler,KLD 28 II 7; RSM ¹Kanzl/2/7a
Ein ku̍nig hie mit gewalte vert,C,Der Schulmeister von Esslingen,KLD 10 II 1; RSM ¹Schulm/1/1
"Ein kuslich munt, zwei rosevarwe wange",C,Wilhelm von Heinzenburg,KLD 67 V
Ein loͤwe einen spiegel kos,C,Konrad von Würzburg,Schr XVIII 4; RSM ¹KonrW/1/4
Ein man bedarf wol sinne,"C, L",Ulrich von Liechtenstein,KLD 58 XLVIX
"Ein mu̍ndel rot, zwo brune bra",C,Rudolf der Schreiber,KLD 50 I
Ein reine hohgimuͤte,A,Namenlos/​Gemischt,KLD 47 XV A
Ein rich gewaltig hohir kuͦnig was hie bevor,"D, h, s₁, db₃",Namenlos/​Gemischt,HMS III 126.1; RSM ¹Regb/1/100a
Ein rich gewaltig hohir kuͦnig was hie bevor,db₄,Regenbogen,HMS III 126.1; RSM ¹Regb/1/100e
"Ein ritter, der hat sinen lip",C,Von Wissenlo,KLD 68 IV
"Ein ritter, der niht wete habe von golde noch von siden","C, J",Konrad von Würzburg,Schr XXXII 14; RSM ¹KonrW/7/14a
Ein schone magit,A,Namenlos/​Gemischt,KLD 58 XL
Ein selig wib mit vil wiplicher guͤte,C,Der tugendhafte Schreiber,KLD 53 I
Ein tier ist wunderlicher art,C,Der Kanzler,KLD 28 XVI 3; RSM ¹Kanzl/5/3
Ein trages sneggen slichen,C,Der Kanzler,KLD 28 I 6; RSM ¹Kanzl/1/6
"Ein vederspil, daz vahet",C,Der von Buchein,KLD 5 V 2; RSM ¹Buch/3
Ein vuhs zeinem rappen sprach,C,Der Kanzler,KLD 28 XVI 13; RSM ¹Kanzl/5/13
Ein wib mag wol erloͮben mir,C,Wolfram von Eschenbach,"KLD 69 III 1; MF 5,16"
Ein wunder in der werlde vert,"C, J",Der Wilde Alexander,KLD 1 II
"Einen kargen wilent des bevilte, daz ein man sich milte",C,Konrad von Würzburg,Schr XXXI 5; RSM ¹KonrW/6/5a
"Eins mals ein richen kargen daz bevilte, so daz ein armer milte",k,Konrad von Würzburg,RSM ¹KonrW/6/515a
Er bit ku̍nste unde sinnes rat,C,Der Kanzler,KLD 28 XVI 14; RSM ¹Kanzl/5/14-16
Er ist komen wider mit gewalde,"C, L",Ulrich von Liechtenstein,KLD 58 XXXIX
"Er tore vil tumbe, des lib si gehas","C, L",Ulrich von Liechtenstein,KLD 58 XVIII
"Eregernden ritter, lat u̍ch schoͮwen","C, L",Ulrich von Liechtenstein,KLD 58 XXXVIII
Es fuͦr ein bu̍ttenere,C,Gottfried von Neifen,KLD 15 XXXIX
Es gieng ein juncvrowe minneklich,C,Burggraf von Lienz,KLD 36 I
"Es ist ain reht, das ich lasse den muͦt","B, C",Hiltbolt von Schwangau,KLD 24 XVII
Es ist gar unmassen lang,C,Ulrich von Winterstetten,KLD 59 XL
Es ist in den walt gesungen,C,Der tugendhafte Schreiber,KLD 53 VIII
"Es ist niht lang, daz ich mit einer minneklichen frowen",C,Ulrich von Winterstetten,KLD 59 XI
Es stuͦnt ein froͮwe alleine,C,Dietmar von Aist,"MF 37,4"
Es taget unmassen schone,C,Wenzel von Böhmen,KLD 65 III
"Es were ain wunneclichu̍zit, der nu bi fru̍nden moͤhte sin",C,Friedrich von Hausen,"MF 43,10"
"Es wirt ain man, der sinne hat",B,Friedrich von Hausen,"MF 150,10"
Eyn hirte bant synen tobenden hunt,J,Der Wilde Alexander,KLD 1 II
Eyn lob gebluͦmet vert in hoher werdicheite solde,J,Konrad von Würzburg,Schr XXXII 25; RSM ¹KonrW/7/25
"Eyn minnen dyef, der lieflich stilt",N,Namenlos/​Gemischt,KLD 1 II
Eyn valke uf eyme strigge wart,N,Namenlos/​Gemischt,KLD 28 XVI 21; RSM ¹Kanzl/5/21
Eyn vox mit eyme daxe streit,J,Der Wilde Alexander,KLD 1 II
Ez ist in vil swere,C,Reinmar der Fiedler,"KLD 45 II 2, RSM ¹ReiFi/2/2b"
Ez ist in vil swere,A,Reinmar der Fiedler,KLD 45 II 2; RSM ¹ReiFi/2/2a
"Ez ist nu tac, daz ich wol mac mit warheit jehen","A, C",Wolfram von Eschenbach,"KLD 69 VII 1; MF 7,41"
"Ez ist wol, daz wir die lieben heide",A,Leuthold von Seven,KLD 35 V
Ez waz ein ku̍nig gewaltic unde riche,"A, C",Reinmar der Fiedler,KLD 45 I 1; RSM ¹ReiFi/1/1-4b
"Ez wirt ein man, der sinne hat",A,Reinmar,"MF 150,10"
"Ez wirt ein man, der sinne hat",B₂,Rudolf von Rotenburg,"MF 150,10"
Fenix ein vogel ist genant,"C, B₃",Der Kanzler,KLD 28 XVI 2; RSM ¹Kanzl/5/2a
"Flu̍ch, flu̍ch, truren, von uns verre","C, L",Ulrich von Liechtenstein,KLD 58 LIII
Froͤidenricher suͤsser meîe,C,Hugo von Werbenwag,KLD 27 IV
"Froͤit u̍ch, eregernden leien",C,Der Püller,KLD 43 V
"Froͤit u̍ch, minnegernde man","C, L",Ulrich von Liechtenstein,KLD 58 XVII
"Froͤit u̍ch, wesent fro",C,Brunwart von Augheim,KLD 4 III
"Froͤmde wunder, froͤlich ere",C,Hugo von Werbenwag,KLD 27 II
"Froͮwe schoͤne, froͮwe reine","C, L",Ulrich von Liechtenstein,KLD 58 XXX
"Froͮwe, mines libes froͮwe",C,Dietmar von Aist,"MF 36,34"
"Frowe aller froͤide, ich lobe an dir, daz du den got gebere","C, J, B₃",Konrad von Würzburg,Schr XXXII 4; RSM ¹KonrW/7/4a
"Frowe aller froͤide, ich lobe an dir, daz du den got gebere",K,Konrad von Würzburg,Schr XXXII 4; RSM ¹KonrW/7/4d
"Frowe min, got gebe dir guͦten morgen","C, L",Ulrich von Liechtenstein,KLD 58 XLII
"Frowe, ich rede es mit u̍wern hulden",C,Hiltbolt von Schwangau,KLD 24 VI
"Frowe, lânt u̍ch niht verdriessen","C, E",Walther von der Vogelweide,"L 85,34"
"Frowe, lat uch niht verdriezen",A,Leuthold von Seven,L 57 I
"Frowe, miner froͤiden frowe","C, L",Ulrich von Liechtenstein,KLD 58 XLVIII
"Frowe, mines herzen trost alleine",C,Der tugendhafte Schreiber,KLD 53 VII
"Frowe, selig frowe min","C, L",Ulrich von Liechtenstein,KLD 58 III
"Frowe, tuͦdes ich dich bitte",C,Reinmar,"MF 190,27"
"Frowe, tuͦ, des ich dich bitte",A,Reinmar der Fiedler,"MF 190,27"
Funf hande tugend sol ein reine vroͮwe pflegen,C,Regenbogen,HMS II 126.5; RSM ¹Regb/1/5
Gar bar lit wit walt,C,Konrad von Würzburg,Schr XXVI 1
"Gedenke, die sint ledig, fri","B, C",Dietmar von Aist,"MF 34,19"
Gelebt ich noch die lieben zit,C,Friedrich von Hausen,"MF 45,1"
"Gelu̍ke, daz get wunderlichen an unde abe;",C,Ulrich von Liechtenstein,KLD 16 II
"Gelu̍ke, wol man din bedarf",C,Der Kanzler,KLD 28 XVI 7; RSM ¹Kanzl/5/7
"Genu̍htig man an sippeschefte, pruͤve in dem sinne",C,Konrad von Würzburg,Schr XXXII 10; RSM ¹KonrW/7/10
Getorst ich uch mins herzen willen sagen,C,Rudolf von Rotenburg,KLD 49 VIII
Gewalt bi grossem guͦte,C,Der Kanzler,KLD 28 I 2; RSM ¹Kanzl/1/2-3
Got fuge mirz zeguͦte,L,Ulrich von Liechtenstein,KLD 58 XXV
Got geb der lieben guten tag,c,Neidhart,"SNE II: c 114; MS I,88: Nr. 12; KLD 49 XII 2; Wa/Bei 101,II"
"Got gewaltic, was du schikest",C,Konrad von Würzburg,Schr I
"Got grüß dich, frauwe ob allen frauwen, ich bin wunt",k,Reinmar von Brennenberg,RSM ¹ReiBr/507a
Got hat uns aber san gemant,"A, C",Rubin,KLD 47 VII A
"Got here, waz tu wunders an dir selven hast gescicket",M₂,Namenlos/​Gemischt,Schr XXXII 1; RSM ¹KonrW/7/1e
"Got herre, ân anegenge unde oͮch an ende, almehtig got",C,Konrad von Würzburg,RSM ¹FriSo/1/12b
"Got herre, nu warte umbe dich",C,Der Schulmeister von Esslingen,KLD 10 II 3; RSM ¹Schulm/1/2
"Got herre, was du wunders an dir selben hast geschiket","C, J, B₃, K",Konrad von Würzburg,Schr XXXII 1; RSM ¹KonrW/7/1a
Got unde der ku̍nig wolten kriegen sunder wân,C,Der Schulmeister von Esslingen,KLD 10 III 1; RSM ¹Schulm/2/1-2
"Got welle sone welle, doch so singet der von Seven",A,Reinmar der Fiedler,KLD 45 III 1; RSM ¹ReiFi/3/1
Got wil ze jungest sinen tot verwîssen uns vil armen,C,Konrad von Würzburg,Schr XXXII 3; RSM ¹KonrW/7/3a
"Got, schepher aller dingen","C, B₃",Der Kanzler,KLD 28 II 1; RSM ¹Kanzl/2/1-3a
"Got, schoͤpffer aller dingen",b,Der Kanzler,KLD 28 II 1; RSM ¹Kanzl/2/509a
"Gote willekomen, min herre","C, L",Ulrich von Liechtenstein,KLD 58 XXXVI
Guͤtlich sol ein iegslich wib,C,Ulrich von Liechtenstein,KLD 58 LI
"Guͦt wib, ich bitte dich minne",C,Wolfram von Eschenbach,"KLD 69 [VIII] 1; MF 9,4"
"Guͦt wib, miner froͤiden lere","C, L",Ulrich von Liechtenstein,KLD 58 XLI
Guͦten lu̍ten wil ich kenden,"A, C",Günther von dem Forste,KLD 17 VI
"Guͦten wib, wol u̍ch der eren",C,Der tugendhafte Schreiber,KLD 53 IV
"Habe ich fru̍nt, die wu̍nschen ir","B, C",Heinrich von Rugge,"MF 103,3"
"Habe ich fru̍nt, die wu̍nschen ir",C,Reinmar,"MF 103,3"
Habe ich si da fu̍r niht erkorn,"B, C",Ulrich von Munegiur,KLD 37 II
Han ich niht mit der nahtegal gesungen,"A, B, C",Rubin,KLD 47 XVI
Hat ieman sin so snellen,C,Der Kanzler,KLD 28 II 10; RSM ¹Kanzl/210-11a
Hebet sydus leti visus,M,Namenlos/​Gemischt,CB 169
"Hei, nu kumet u̍ns du̍zit der clainen vogellinen sang","B, C",Dietmar von Aist,"MF 33,15"
Heide mit kleide zieret sich gar ane we,C,Konrad von Würzburg,Schr XVI 1
Heide unde anger,C,Ulrich von Winterstetten,KLD 59 XXXI
Heide unde anger stuͦnt in bluͤte,P₁,Namenlos/​Gemischt,KLD 15 XXII
Heide walt unde anger wol bekleit,C,Ulrich von Winterstetten,KLD 59 XIX
"Heide, velt, berg unde tal",C,Konrad von Würzburg,Schr XI 1
"Helfent mir, ir leigen, meien klagen",C,Der Kanzler,KLD 28 XIV
Her Gawin stic noch straze vant,J,Der Wilde Alexander,KLD 1 II
"Her Kei, meister unde vru̍nt, ir sit so zu̍hte wis",C,Der tugendhafte Schreiber,"HMS II,152, RSM ¹Tugdh/1/1a"
"Her Keye, meister unde vriunt, ir sit so tzuchten wis",J,Stolle,RSM ¹Tugdh/1/1b
Her ne kan nicht wol rosen phlegen,J,Der Wilde Alexander,KLD 1 II
"Herre got, dir sungen schone",J,Der Wilde Alexander,KLD 1 I
"Herre, wenne sol ich si sehen","B, C",Wilhelm von Heinzenburg,KLD 67 I
"Herze, du bist ane sin",C,Der von Buchein,KLD 22 IV
"Herze, du bist ane sinn",C,Heinrich von der Mure,KLD 22 IV
"Het ich einen kneht, der sunge lihte von siner frowen",A,Gedrut,KLD 13 I
"Het ich einen kneht, der sunge lihte von siner frowen",C,Geltar,KLD 13 I; ¹Geltar/1/
Hete ich niht anders leides me,C,Rudolf von Rotenburg,"KLD 49 Leich IV,"
"Hete ich, swas ich gerne hete",C,Wachsmut von Künzingen,KLD 60 IV
Hetin nu die bluͦmen den gewalt,A,Walther von Mezze,KLD 62 IX
Het’ mich der winter bas verlassen,C,Ulrich von Winterstetten,KLD 59 XXXVIII
"Hey, winter, din gewalt",C,Konrad von Kirchberg,KLD 33 II
"Hie bevorn, do wir kynder waren",J,Der Wilde Alexander,KLD 1 V
Hie ist des meien hohgezit,"C, L",Ulrich von Liechtenstein,KLD 58 XIII
"Hoͤrent, wie du̍frîe nahtegal",C,Konrad von Kirchberg,KLD 33 III
"Hoher muͦt, nu wis enpfangen","C, L",Ulrich von Liechtenstein,KLD 58 XXXII
Hohvertig schalc enmac niht lange rihsen bi gelu̍ke,C,Konrad von Würzburg,Schr XXXII 11; RSM ¹KonrW/7/11
Hu̍te gebe ir got vil guͦten tac,A,Walther von der Vogelweide,"KLD 49 XII 2; Wa/Bei 101,II"
"Husere ist ein genade rich, du̍froͤmden gast",C,Konrad von Würzburg,Schr XIX 4
"Hy, wie wunnenklich du̍heide",C,Gottfried von Neifen,KLD 15 VI
Ich bin an minnen worden las,C,Der Schulmeister von Esslingen,KLD 10 I 3; RSM ¹Schulm/3/3
"Ich bin der, der lieben liebu̍mere singet",C,Christan von Hamle,KLD 30 VI
"Ich bin dir lange holt gewesen, frowe biderb unde guͦt",A,Heinrich von Veldeke,"MF 33,23"
Ich bin her bi minen stunden,C,Ulrich von Liechtenstein,KLD 58 LVIII
Ich bin hohes muͦtes,"C, L",Ulrich von Liechtenstein,KLD 58 XLIV
Ich bin in min herze wunt,C,Der von Obernburg,KLD 40 VII
Ich bin mit rehter stete einem guͦten riter undertan,A,Leuthold von Seven,"MF 16,1"
Ich bin mit rehter stete einem guͦten ritter undertan,C,Burggraf von Regensburg,"MF 16,1"
"Ich clage dir, may, ich clage dir, sumerwunne",f,Frauenlob (Heinrich von Meißen),KLD 23 II
"Ich clage dir, meie, ich clage dir, sumerwunne",C,Heinrich von Breslau,KLD 23 II
Ich denke underwilen,"B, C",Friedrich von Hausen,"MF 51,33"
Ich enkan mit minem sange,"B, C",Leuthold von Seven,KLD 35 II
"Ich enweis, was ich singe","C, L",Ulrich von Liechtenstein,KLD 58 II
Ich enwil nu nicht mer truren,C,Christan von Luppin,KLD 31 II
Ich froͤwe mich gen dem meijen nichtes nicht,C,Christan von Luppin,KLD 31 I
Ich froͤwe mich maniger bluͦmen rot,C,König Konrad der Junge,KLD 32 II
Ich gesach den walt und al die heide,A,Gedrut,SNE I: R 48 (R I)
Ich gesah den walt unde all die heide,"R, c",Neidhart,SNE I: R 48 (R I)
Ich hab mich underwunden,C,Der Kanzler,KLD 28 I 1; RSM ¹Kanzl/1/1
"Ich habe ein herze, daz mir sol",C,Walther von Mezze,KLD 62 VII
Ich han den geloͮben in dem muͦte,"B, C",Hiltbolt von Schwangau,KLD 24 V
Ich han dry kempfen hoch getüret und gewegen,s₁,Namenlos/​Gemischt,RSM ¹Regb/1/532b
"Ich han ein hertze, daz mir noch sol",E,Walther von der Vogelweide,KLD 62 VII
Ich han ein wib ersehen,C,Geltar,KLD 13 III
Ich han ein wip ersehen,A,Gedrut,KLD 13 III
Ich han erwelt mir selbe suͦzen kumber,A,Markgraf von Hohenburg,KLD 41 V
