Incipit ,Hs. ,Korpus ,Editionen 
Ich han erwelt mir selben suͤssen kumber,B,Otto von Botenlauben,KLD 41 V
"Ich han gesehen alle wile, daz ere",C,Ulrich von Munegiur,KLD 37 I
Ich han gevraget unde wil oͮch iemer vragen,C,Walther von Breisach,KLD 63 I
Ich han got unde die minneklichen Mînne,C,Reinmar von Brennenberg,KLD 44 I
"Ich han ie gedaht, wie ain wip wesen solte",B,Friedrich von Hausen,KLD 25 IV
Ich han liep mit seneder leide,"A, C",Günther von dem Forste,KLD 17 I
"Ich han mir funden eine reinen, suͤssen fruht",C,Reinmar von Brennenberg,KLD 44 IV 8; RSM ¹ReiBr/8
Ich hate ze froͤiden minen muͦt,C,Otto IV. von Brandenburg,KLD 42 VI
"Ich hayn eyn hertz, das mich zol",S,Namenlos/​Gemischt,KLD 62 VII
Ich het disen lieben sumer,C,Der von Suonegge,KLD 57 I
"Ich het ie gedaht, wie ein wip wesen solde","A, C",Markgraf von Hohenburg,KLD 25 IV
Ich hoͤre aber die vogel singen,C,Gottfried von Neifen,KLD 15 XVI
Ich hore manegen vragen,A,Leuthold von Seven,KLD 35 VII
Ich horte ain merliken wol singen,"B, C",Ulrich von Gutenburg,"MF 77,36"
"Ich kam geslichen, da ich taugentlichen vant",k,Reinmar von Brennenberg,RSM ¹ReiBr/510a
"Ich klage dir, edelu̍frowe here",C,Der von Buchein,KLD 5 IV
"Ich klage dir, edelu̍frowe here",C,Der von Trostberg,"SMS 19,3,I"
Ich kom von minne in kumber gros,B,Friedrich von Hausen,"MF 47,1"
Ich lag eins nachtz in slaffes gier,k,Konrad von Würzburg,RSM ¹KonrW/5/503a
Ich lide zweier hande haz,"A, C",Walther von Mezze,KLD 62 II
Ich lobe got der siner guͤte,"B, C",Friedrich von Hausen,"MF 50,19"
Ich muͦs ane trost beliben,C,Der Püller,KLD 43 III
"Ich muͦs von schulden sin unvro, sit si jach, do ich bi ir was","B, C",Friedrich von Hausen,"MF 42,1"
Ich pruͤve unde ku̍se,C,Konrad von Würzburg,Schr XXIV 2; RSM ¹KonrW/4/2
"Ich sas bi miner froͮwen, bis mir begunde stân",C,Der Kol von Niunzen,KLD 29 III
Ich sihe den morgensternen glesten,C,Konrad von Würzburg,Schr XV 1
"Ich sihe wol, das got wunder kan","B, C",Friedrich von Hausen,"MF 49,37"
Ich sing unde solte weinen,C,Walther von Breisach,KLD 63 II
Ich singe sunder minen danc,A,Gedrut,KLD 47 II A
Ich singe sunder minen dank,C,Rubin,KLD 47 II A
Ich solde den liehten sumer loben,C,Ulrich von Winterstetten,KLD 59 X
Ich solt aber dur die suͤssen,C,Gottfried von Neifen,KLD 15 XXXVII
Ich solt aber singen von den rosen rot,C,Konrad von Würzburg,Schr XIX 1; RSM ¹KonrW/2/1-3
Ich solt ain lu̍zel miner langen swere clagen,C,Rubin,KLD 47 I
Ich solte ein luzil miner langen swere clagen,A,Namenlos/​Gemischt,KLD 47 I
Ich suͦchte guͦter fru̍nde rat,C,Dietmar von Aist,"MF/MT Dietm XVI,1"
Ich suhte guͦter vru̍nde rat,A,Leuthold von Seven,"MF/MT Dietm XVI,1"
Ich tete gerne schin grôssen pin,C,Rudolf von Rotenburg,KLD 49 Leich V
Ich viel eynen gar sweren val,J,Der Wilde Alexander,KLD 1 II
Ich wache umb eines riters lib,C,Markgraf von Hohenburg,KLD 25 V
Ich wache umbe eines ritters lip,A,Niune,KLD 25 V
Ich wache umbe eyns ritters lif,O₂,Namenlos/​Gemischt,KLD 25 V
"Ich wand ie, daz wiblich guͤte",C,Der Kanzler,KLD 28 IV
Ich wande ledig sin von solicher swere,B,Friedrich von Hausen,"MF 47,17"
"Ich wande, daz ich jarlang hete",C,Otto IV. von Brandenburg,KLD 42 VII
"Ich weis wol, daz des kargen muͦt",C,Konrad von Würzburg,Schr XXV 3; RSM ¹KonrW/5/3a
Ich wil aber disen sang,C,Ulrich von Winterstetten,KLD 59 I
Ich wil aber singen,C,Ulrich von Winterstetten,KLD 59 XXIV
Ich wil allen lu̍ten betu̍ten mis herzen klage,C,Ulrich von Winterstetten,KLD 59 XXI
Ich wil den winter enphahen mit gesange,"A, C",Heinrich von Anhalt,KLD 2 I
Ich wil der lieben aber singen,C,Hiltbolt von Schwangau,KLD 24 X
Ich wil der vil lieben singen disen sang,C,Ulrich von Winterstetten,KLD 59 XV
Ich wil des alle vrouwen biten,J,Der Wilde Alexander,KLD 1 II
Ich wil die vil guͦten vlehen,C,Burkhard von Hohenfels,KLD 6 XVII
"Ich wil dir, herre Jesus, der vil reinen megede kinde","A, C",Hawart,KLD 19 I
"Ich wil dir, selic frauwe, minneclichen singen",E,Reinmar,KLD 47 IX
Ich wil durch die vrowen min,L,Ulrich von Liechtenstein,KLD 58 LI
Ich wil in miner froͮwen namen,C,Rudolf von Rotenburg,KLD 49 XIII
Ich wil min gemuͤte erjetten,C,Burkhard von Hohenfels,KLD 6 XV
Ich wil mit froͤiderichem muͦte,C,Ulrich von Singenberg,SMS 12 15a I
Ich wil nu den wolgemuͦten singen,C,Markgraf von Hohenburg,KLD 49 X
Ich wil nu den wolgemuͦten singen,B,Friedrich von Hausen,KLD 49 X 1/[XVII 1]
Ich wil reigen,C,Burkhard von Hohenfels,KLD 6 VII
Ich wil singen unde lachen,C,Rudolf von Rotenburg,KLD 49 IX
Ich wil urlop von vru̍nden nemen,"A, B, C",Rubin,KLD 47 XXII
Ich wil wol von wibes guͤte,C,Der von Obernburg,KLD 40 V
"Ich wil, daz man mir dur die guͦten si gehas",C,Der von Obernburg,KLD 40 III
Ich wolde niht erwinden,C,Gottfried von Neifen,KLD 15 XXVII
Ich wolte gar von froͤiden gan,C,Heinrich III. von Meißen,KLD 21 III
"Ich wolte, daz der anger sprechen solte",C,Christan von Hamle,KLD 30 II
"Ich wurde vro, kunde ich verdienen das",C,Hiltbolt von Schwangau,KLD 24 IX
In dem luftesuͤssen meyen,"C, L",Ulrich von Liechtenstein,KLD 58 XXVIII
In dem walde suͤsse doͤne,"C, L",Ulrich von Liechtenstein,KLD 58 IV
In dem walde unde uf der gruͤnen haide,"B, C",Leuthold von Seven,KLD 35 I
In dem walde unde uf der gruͦnen heide,A,Der Junge Spervogel,KLD 35 I
In den sumerlichen tagen hohe stat,C,Hiltbolt von Schwangau,KLD 24 XXII
In disem nu̍wen done,C,Der von Sachsendorf,KLD 51 VI
In minem trome ich sach,B,Friedrich von Hausen,"MF 48,23"
In minem trome ich sach,C,Friedrich von Hausen,"MF 48,23"
In minen besten freuden ich saz,B₂,Rudolf von Rotenburg,"MF 109,9"
In minen besten vroͤden ich sas,B,Friedrich von Hausen,"MF 109,9"
In miner bestin froide ich saz,"A, E",Reinmar,"MF 109,9"
"In stetten, uf bu̍rgen widerpart",C,Der Kanzler,KLD 28 XVI 8; RSM ¹Kanzl/5/8
"In weis niht, was es mich hat vervangen",C,Hartmann von Starkenberg,KLD 18 I
"Ir bernden himel, neigent iu̍ch har",B,Namenlos/​Gemischt,"HMS II, 274; RSM ¹Gotfr/2/1b"
"Ir edelen tumben, wes lant ir u̍ch gerne toren triegen",C,Konrad von Würzburg,Schr XXXII 13; RSM ¹KonrW/7/13
"Ir edeln froͮwen, ir vil reinen minneklichen wib","C, L",Ulrich von Liechtenstein,KLD 58 XX
Ir minnekliche minne mir betwungen hat,C,Der von Obernburg,KLD 40 VI
"Ir munt, der lu̍htet, als der liehte rubin tuͦt",C,Reinmar von Brennenberg,KLD 44 IV 1; RSM ¹ReiBr/1a
Ir nement des riches schiltes war,C,Der Schulmeister von Esslingen,KLD 10 V; RSM ¹Schulm/5/1
"Ir pfaffen unde ir ritter, tribent von u̍ch nît",C,Regenbogen,HMS II 126.1; RSM ¹Regb/1/1a
"Ir sult mir, selic vrowe, ein wort",A,Rudolf von Rotenburg,KLD 49 VIII
Ist du̍liebe nach ir schoͤne guͦt,B,Wachsmut von Künzingen,KLD 60 I
Ist ieman in der welte bas,C,Albrecht von Haigerloch,"HMS I, 63; RSM ¹AlbrH/1"
Ist iht mere schoͤnes,C,Ulrich von Winterstetten,KLD 59 IV
Iz sol uz schalches munde,M₃,Der tugendhafte Schreiber,RSM ¹Tugdh/2/1
Jarlanc scheiden wil du̍linde,C,Konrad von Würzburg,Schr VI 1
Jarlanc treit,C,Konrad von Würzburg,Schr XXIII 1; RSM ¹KonrW/3/1-3
Jarlanc uf der heide breit,C,Konrad von Würzburg,Schr V 1
Jarlanc von dem kalten sne,C,Konrad von Würzburg,Schr XXI 1
Jarlanc vrijet sich du̍gruͤne linde,C,Konrad von Würzburg,Schr XIII 1
Jarlanc wil du̍heide mit leide,C,Konrad von Würzburg,Schr XVII 1
Jarlanc wil du̍linde,C,Konrad von Würzburg,Schr X 1
Jarlanc wil du̍linde von winde sich velwen,C,Konrad von Würzburg,Schr XXVII 1
Jarlang me von dem kalten sne,P₁,Namenlos/​Gemischt,Schr XXI 1
Jarlang valwent uf der heide,C,Brunwart von Augheim,KLD 4 II
"Juncherre, ich han grosse huͦter",C,Wachsmut von Mühlhausen,KLD 61 II
"Junge unde alt, ir helfent alle froͤide meren",C,Rudolf von Rotenburg,KLD 49 XVI
"Junge unde alte, ir helfent alle vreide meren","A, C",Niune,KLD 49 XVI
Kalten rifen unde sne,"B, C",Hiltbolt von Schwangau,KLD 24 XXI
"Kint, unde welle dich gelu̍ke miden",C,Gottfried von Straßburg,"HMS II, 276; RSM ¹Gotfr/3/1"
Koͤnde ich lob ze dem besten bringen,C,Hugo von Werbenwag,KLD 27 III
Komen ist der winter kalt,C,Ulrich von Winterstetten,KLD 59 VI
Komen ist der winter kalt,C,Ulrich von Winterstetten,KLD 59 XXXVI
Kunde ich geloben die frowen min,C,Rudolf von Rotenburg,KLD 49 Leich I
Lassen wir die bluͦmen rot beliben,C,Heinrich III. von Meißen,KLD 21 I
Leider winter ungestalt,C,Der Kanzler,KLD 28 XIII 1; RSM ¹Kanzl/4/1-3
Leitliche blike unde grôsliche ru̍we,C,Heinrich von Morungen,"MF 133,13"
"Lieber meie, nu ist din schoͤne",C,Reinmar von Brennenberg,KLD 44 II
"Liebu̍frowe, vil lieber denn noch liebers iht",C,Reinmar von Brennenberg,KLD 44 IV 5; RSM ¹ReiBr/5
"Liehter sumer, du̍suͦsse wunne",C,Gottfried von Neifen,KLD 15 XLIII
"Loͮb, gras, bluͦmen, vogelsingen",C,Bruno von Hornberg,KLD 3 I
Lob der reinen wibe mac,"A, C",Rubin,KLD 47 XVIII
Lob ich nu des meien guͤte,C,Wilhelm von Heinzenburg,KLD 60 VII
Lob von mangen zungen,C,Gottfried von Neifen,KLD 15 XXI
Lobe ich nu des meien guͦte,A,Wachsmut von Künzingen,KLD 60 VII
Lop der reinen wibe mac,E,Reinmar,KLD 47 XVIII
"Loup, gras, bluͦmen, vogelsingen",C,Gottfried von Neifen,KLD 15 IX
"Lu̍te unde lant, die mohten mit genaden sin",C,Ulrich von Liechtenstein,KLD 16 I
"Mag, ob mich liebet dir min guͦt",C,Der Kanzler,KLD 28 XVI 11; RSM ¹Kanzl/5/11
Man sol nu singen gegen dem tage,C,Von Wissenlo,KLD 68 III
Man sol nu singen von deme tage,A,Leuthold von Seven,KLD 68 III
Maneger claget die schone zit,A,Gedrut,KLD 69 IX
Maneger lat mich ungegruͦzit,C,Reinmar der Fiedler,KLD 45 II 1; RSM ¹ReiFi/2/1b
Maneger lat mich ungegruͦzit,A,Reinmar der Fiedler,KLD 45 II 1; RSM ¹ReiFi/2/1a
Manig herre mich des vraget,C,Der Kanzler,KLD 28 II 8; RSM ¹Kanzl/2/8
Maniger claget die schonen zît,C,Rubin und (?) Rüedeger,KLD 69 [IX]
"Maniger giht, das man von schaden wise","B, C",Wachsmut von Künzingen,KLD 60 IIb
Maniger klaget die schonen zit,C,Wolfram von Eschenbach,"KLD 69 [IX] 1; MF/MT Wolfr IX,1"
"Maniger nu von siner tugende gahet, der die schande enpfahet",C,Konrad von Würzburg,Schr XXXI 2; RSM ¹KonrW/6/2
Maniger wunne bilde,C,Konrad von Würzburg,Schr IV 1
"Maniger, der sprichet: nu sehent, wie der singet",B,Dietmar von Aist,"MF 133,21"
"Maria, muter unde meyt, der engel keyserynne",k,Konrad von Würzburg,RSM ¹KonrW/7/502a
Meie den gruͤnen walt,C,Konrad von Würzburg,Schr IX 1
Meie hat die liehten zit,C,Rudolf der Schreiber,KLD 50 III
"Meie, dîn zit",C,Der Kanzler,KLD 28 XII
Meige ist komen in du̍lant,C,Konrad von Kirchberg,KLD 33 V
"Meije, bis uns willekomen",C,Der von Scharfenberg,KLD 52 I
"Meijen schin, din kunft mich froͤit vil kleine",C,Christan von Luppin,KLD 31 VI
Menschlich vernunft gar sunder var,C,Der Kanzler,KLD 28 XVI 10; RSM ¹Kanzl/5/10
"Merke, ein hohgeborne jugent",C,Konrad von Würzburg,Schr XVIII 2; RSM ¹KonrW/1/2
Merkent wunder iemer mere,C,Gottfried von Neifen,KLD 15 XIX
Mich dunket niht so guͦtes noch so lobesam,C,Alram/Waltram von Gresten,"MF 3,17"
Mich dunket niht so guͦtes noch so lobesam,A,Niune,"MF 3,17"
Mich entroͤstet niht der walt unde oͮch du̍heide,C,Gottfried von Neifen,KLD 15 XLIV
Mich froͤit ane alle swere wol,C,Heinrich von Rugge,"MF 110,17"
Mich hat ein lieber wan,C,Rubin,KLD 47 III
Mich hat ein lieber wan,A,Namenlos/​Gemischt,KLD 47 III
"Mich muͤt, daz so manger sprichet",C,Burkhard von Hohenfels,KLD 6 XVI
Mich vraget manig edel man,C,Der Kanzler,KLD 28 XVI 6; RSM ¹Kanzl/5/6
Mich wundert harte sere,"C, B₃",Der Kanzler,KLD 28 II 4; RSM ¹Kanzl/2/4a
"Mich wundert, daz ich mazzes ymmer willichlichen untbize",J,Konrad von Würzburg,Schr XXXII 24; RSM ¹KonrW/7/24a
"Mich wundert, ob verdorben si",C,Der Kanzler,KLD 28 XVI 12; RSM ¹Kanzl/5/12
"Mich wundert, sit daz ich ez las",J,Der Wilde Alexander,KLD 1 II
"Mich wundert, wie den lu̍ten si, die sich der eren schament",A,Leuthold von Seven,KLD 35 VIII
Milte zieret edeln muͦt,C,Konrad von Würzburg,Schr XVIII 1; RSM ¹KonrW/1/1
Min arzat ist min munt,B,Otto von Botenlauben,KLD 62 Ia
Min herze den geloͮben hat,"B, C",Friedrich von Hausen,"MF 48,3"
Min herze hat minen sin,C,Burkhard von Hohenfels,KLD 6 IX
"Min herze unde min lip, die wellent schaiden","B, C",Friedrich von Hausen,"MF 47,9"
"Min herze, ir schoͤne unde du̍Minne des habent gesworn",C,Heinrich von Morungen,"MF 134,6"
"Min herze, ir schoͤne unde du̍Minne habent gesworn",B,Dietmar von Aist,"MF 134,6"
Min liep ich mir vil nahe trage,"B, C",Reinmar,"MF 150,1"
"Min muͦt, der muͦs stigen iemer",C,Ulrich von Liechtenstein,KLD 58 LVII
Min ougen muͦzen dur daz selic sin,C,Markgraf von Hohenburg,KLD 25 VI
"Min sendes denken, da bi mine sinne al gemeine",C,Heinrich von Veldeke,KLD 58 XII
"Min senedes denken, da bi mine sinne al gemeine",A,Niune,KLD 58 XII
Min trurekliches klagen,"C, J, W",Der Wilde Alexander,KLD 1 VII
Minen muͦt,C,Konrad von Würzburg,Schr XXVIII 1
Minne fuͤget dike leit,C,Ulrich von Winterstetten,KLD 59 VIII
"Minne twinget mich mit al ir kraft, daz ich",C,Ulrich von Winterstetten,KLD 59 Leich V
"Minne was so tu̍re, daz man si mit guͦte",C,Der tugendhafte Schreiber,KLD 53 III
"Minne, bist du, so man seit, gewaltig guͦter wibe",C,Der von Sachsendorf,KLD 51 III
"Minne, ich wil dich iemer eren",C,Der tugendhafte Schreiber,KLD 53 V
"Minne, ir habt mich so besweret",C,Alram/Waltram von Gresten,KLD 64 III
"Minne, ir habt mich so besweret",A,Niune,KLD 64 III
Minnekliche ich von der minne sunge,C,Rudolf von Rotenburg,KLD 49 [XVII 3]/X
Mir gab ein sinnic herze rat,A,Leuthold von Seven,"MF 103,11"
"Mir is, als ich niet levende si, wan ich intnucken sere","N, w₂",Namenlos/​Gemischt,Schr XXXII 18; RSM ¹KonrW/7/18-19c
"Mir ist alle zit, als ich fliegende var","B, C",Bernger von Horheim,"MF 113,1"
Mir ist das herze worden fro,C,Heinrich von Breslau,KLD 23 I
Mir ist das herze wunt,"B, C",Friedrich von Hausen,"MF 49,13"
Mir ist ein loser hoveschalk als ein kobolt von buhse,C,Konrad von Würzburg,Schr XXXII 15; RSM ¹KonrW/7/15
Mir ist liep mins herzen swere,"I, I₁",Namenlos/​Gemischt,KLD 62 III
Mir ist von den kinden da her min tage,R₁,Der von Kolmas,"MF 120,1"
Mir ist von liebe vil laide geschehen,"B, C",Bernger von Horheim,"MF 113,33"
"Mir ist, als ich niht lebende si, swenne ich entnuke sere","C, J",Konrad von Würzburg,Schr XXXII 18; RSM ¹KonrW/7/18-19a
Mir saget ein ellender pelegrim,U,Namenlos/​Gemischt,"KLD 49 XII 1; SNE II: c 114; MS I,88: Nr. 12; Wa/Bei 101,I"
Mir seit ein ellender bilgerin,C,Rudolf von Rotenburg,"KLD 49 XII 1; Wa/Bei 101,I"
Mir seit ein ellender bilgerin,E,Walther von der Vogelweide,"KLD 49 XII 1; Wa/Bei 101,I"
"Mir tuͦt vil sanfte, swenne ich hoͤre, das","B, C",Hiltbolt von Schwangau,KLD 24 XV
Mirst min altu̍clage noch nu̍wer danne vert,"A, C",Walther von Mezze,KLD 62 X
Mit dienste man gar lützel hüre erwirbet,k,Walther von der Vogelweide,KLD 10 IV; RSM ¹Schulm/4/1b; RSM ¹WaltV/8/502a
Mit dienste man iezunt harte kume guͦt erwirbet,C,Der Schulmeister von Esslingen,KLD 10 IV; RSM ¹Schulm/4/1a
"Mit froͤlichem libe, mit armen umbevangen",C,Christan von Hamle,KLD 30 I
Mit maniger hande varwe mischet,C,Hartmann von Starkenberg,KLD 18 II
"Muget ir schoͮwen, was dem meigen",C,Walther von der Vogelweide,"L 51,13"
Nach des arn sitte ir ere,C,Burkhard von Hohenfels,KLD 6 II
"Neina, helfent fro beliben",C,Hartmann von Starkenberg,KLD 18 III
"Nement war, wie gar waz der meige vollenbraht",C,Ulrich von Winterstetten,KLD 59 Leich III
Niden liden muͦz du̍reine,C,Burkhard von Hohenfels,KLD 6 XIV
Nieman an vroiden sol verzagen,"A, C",Rubin,KLD 47 XII
Nieman ist ane bresten gar,C,Konrad von Würzburg,Schr XXV 6; RSM ¹KonrW/7/6a
Noch kunde ich guͦtin lutin wol,A,Namenlos/​Gemischt,KLD 47 II A
Nu enbais ich doch des trankes nie,"B, C",Bernger von Horheim,"MF 112,1"
"Nu froͤit u̍ch, minnegernde man","C, L",Ulrich von Liechtenstein,KLD 58 XXVII
Nu geit mir nach ein ander leit,C,Niune,"KLD 49 Leich IV,"
Nu geit mir nach ein ander leit,A,Niune,"KLD 49 Leich IV,"
Nu git aber der suͤsse meie,C,Konrad von Würzburg,Schr III 1
"Nu hat meige walt, heide, oͮwe",C,Gottfried von Neifen,KLD 15 XXXVIII
Nu hat rife unde oͮch der sne geswendet,C,Der von Suonegge,KLD 57 II
Nu hat sich der sumer mit vil maniger hande kleide,C,Ulrich von Winterstetten,KLD 59 XXX
"Nu her, obe ieman kan verneme","A, C",Günther von dem Forste,KLD 17 V
"Nu hilf, wibes guͤte","C, L",Ulrich von Liechtenstein,KLD 58 XLVII
Nu ist der arge winter hie,C,Ulrich von Winterstetten,KLD 59 XVIII
Nu ist der bluͤienden heide voget,C,Gösli von Ehenhein,KLD 14 II
Nu ist der walt wol bekleidet uber al,C,Der Püller,KLD 43 I
Nu ist du̍heide in liehtem kleide,C,Der Püller,KLD 43 II
Nu ist du̍heide wol bekleidet,C,Gottfried von Neifen,KLD 15 XXVI
Nu ist du̍liehte heide val,C,Ulrich von Winterstetten,KLD 59 III
"Nu ist es an ein ende komen, dar nach ie min herze ranc",C,Dietmar von Aist,"MF 38,32"
Nu ist manig herze vro,C,Gottfried von Neifen,KLD 15 XLIX
Nu ist mir aber leide,A,Leuthold von Seven,KLD 11 IV
Nu ist mir aber leide,C,Friedrich der Knecht,KLD 11 IV
Nu jarlanc stet vil hohe min muͦt,"A, C",Niune,KLD 29 I
Nu jarlanc stet vil hohe min muͦt,C,Der Kol von Niunzen,KLD 29 I
Nu klage ich der kleinen vogellin swêre,C,Gottfried von Neifen,KLD 15 XXXIII
Nu kus ich an der vogel swigen,"A, C",Hawart,KLD 19 IV
Nu lange ich mit sange die zit han geku̍ndet,C,Bernger von Horheim,"MF 115,27"
"Nu schoͮwent, wie des meyen zit","C, L",Ulrich von Liechtenstein,KLD 58 IX
"Nu schowent, wie du̍heide",C,Gottfried von Neifen,KLD 15 XV
Nu siht man aber die heide val,C,Gottfried von Neifen,KLD 15 XXIII
Nu siht man aber die wunneklichen heide,C,Gottfried von Neifen,KLD 15 XLVIII
Nu siht man die gruͤnen heide,C,Gottfried von Neifen,KLD 15 XLV
Nu siht man die heide breit,C,Gottfried von Neifen,KLD 15 XXXIV
Nu sint die liehten langen sumertage,C,Heinrich III. von Meißen,KLD 21 VI
Nu stet du̍liebe heide bar,C,Gottfried von Neifen,KLD 15 VIII
Nu wil aber der bluͦmen schin,A,Leuthold von Seven,KLD 11 II
Nu wil aber der bluͦmen schin,C,Friedrich der Knecht,KLD 11 II
Nu wil aber der cleinen vogele singen,A,Leuthold von Seven,KLD 11 I
Nu wil aber der kleinen vogele singen,C,Friedrich der Knecht,KLD 11 I
"Nu wol uf! gruͤssen wir den suͤssen, der uns buͤssen wil des winters pin",C,Gottfried von Neifen,KLD 15 XLVI
"Nu wol uf, reigen vu̍r den walt",C,Der von Stamheim,KLD 55
"Ob allem liebe liebu̍frowe, lere",C,Rubin,KLD 47 VI
"Ob himel ku̍nig, in himel vogt",C,Der Kanzler,KLD 28 XVI 9; RSM ¹Kanzl/5/9
Obe ez an minen eren mir geschaden niene mac,"A, C",Hawart,KLD 19 III
"Ouwe, dat mir gebristit",N,Namenlos/​Gemischt,KLD 28 II 9; RSM ¹Kanzl/2/9c
Owe liehten tage,C,Gottfried von Neifen,KLD 15 XXV
"Owe, das ich si îe gesach",C,Markgraf von Hohenburg,KLD 25 III
"Owe, das ich si ie gesach",B,Friedrich von Hausen,KLD 25 III
"Owe, das ich si miden sol",C,Rudolf von Rotenburg,KLD 49 Leich II
"Owe, daz ich bi dem wolgemuͦten also lange muͦs beliben ungemuͦt","C, L",Ulrich von Liechtenstein,KLD 58 XIV
"Owe, daz ich ez mit der lieben ie begunde","A, C",Rudolf von Rotenburg,KLD 49 XIV
"Owe, daz ich han verlorn","C, L",Ulrich von Liechtenstein,KLD 58 XXI
"Owe, daz mir gebristet","C, B₃",Der Kanzler,KLD 28 II 9; RSM ¹Kanzl/2/9a
"Owe, daz nach liebe ergat","C, J, W",Der Wilde Alexander,KLD 1 VI
"Owe, der so selig were","C, L",Ulrich von Liechtenstein,KLD 58 XXIV
"Owe, edelu̍vrowe here","B, C",Ulrich von Munegiur,KLD 37 III
"Owe, ich armer, wie sol ich nu werben",C,Hiltbolt von Schwangau,KLD 24 XVI
"Owe, was wirdet min","B, C",Wilhelm von Heinzenburg,KLD 67 IIIb
"Owe, winter, das din kraft",C,Gottfried von Neifen,KLD 15 XXXI
"Owe, winter, din gewalt",C,Gottfried von Neifen,KLD 15 I
Phillippos ein koning in Franckenrich was genant,k,Regenbogen,RSM ¹Regb/1/501a
Rehte vroͤde minne ich gerne,"B, C",Hiltbolt von Schwangau,KLD 24 VIII
"Rich arger man, der scham sich",C,Der Kanzler,KLD 28 XVI 17; RSM ¹Kanzl/5/17
Riche wât hat angeleit,C,Der Schulmeister von Esslingen,KLD 10 VII
Rife unde anehank,C,Gottfried von Neifen,KLD 15 XXX
"Ritter guͦt, gedenket",C,Der von Sachsendorf,KLD 51 IV
Rument den weg der minen lieben frowen,C,Otto IV. von Brandenburg,KLD 42 V
"Schoͮwent, wie du̍heide sich enpferwet",C,Konrad von Würzburg,Schr XII 1
Schowent uf den anger,C,Gottfried von Neifen,KLD 15 XIV
Schowent uf die gruͤnen heide,C,Brunwart von Augheim,KLD 4 I
Seht an die heide,C,Gottfried von Neifen,KLD 15 XX
Seht an die wunneklichen zit,C,Konrad von Würzburg,Schr VII 1
"Seht, wa meije mit vil wu̍nne",C,Der von Buchein,KLD 5 I
Selden wunsch unde froͤiden hort,C,Burkhard von Hohenfels,KLD 6 VIII
Selig si du̍heide,C,Gottfried von Neifen,KLD 15 IV
Selig si min liebu̍frowe,C,Heinrich III. von Meißen,KLD 21 IV
"Selig, selig si du̍wunne",C,Gottfried von Neifen,KLD 15 XIII
"Seneder fru̍ndinne botte, nu sage dem schoͤnen wibe","B, C",Dietmar von Aist,"MF 32,13"
"Set, wie des richen kuninges kynt",J,Der Wilde Alexander,KLD 1 II
Si darf mich des zihen niht,"B, C",Friedrich von Hausen,"MF 45,37"
"Si fragent mich, war mir si komen",C,Bernger von Horheim,"MF 115,3"
Si gelichet sich der sunnen,C,Burkhard von Hohenfels,KLD 6 X
Si hat ir wibheit vil wol behuͤtet,L,Ulrich von Liechtenstein,KLD 58 XL
Si ist so rehte minnekliche,C,Der von Sachsendorf,KLD 51 VII
"Si jehent, daz du̍minne",C,Reinmar von Brennenberg,KLD 44 V
